"altTagText","corporateCode","get_directions_url","id","latitude","longitude","type","url"
"Rite Aid at 33330 West 12 Mile Road Farmington Hills, MI","04376","https://maps.google.com/maps?cid=6595140928134706187",1252775,42.5003454,-83.377425,"main",""
"Rite Aid at 35584 Grand River Avenue Farmington Hills, MI","04432","https://maps.google.com/maps?cid=15124555746421618427",1252892,42.4694799,-83.3977082,"main",""
"Rite Aid at 146 North Corning Street Farwell, MI","03234","https://maps.google.com/maps?cid=2671939411849725999",1251180,43.835701,-84.87032,"main",""
"Rite Aid at 1001 North Leroy Street Fenton, MI","04408","https://maps.google.com/maps?cid=16335127029700582631",1250359,42.807479,-83.708159,"main",""
"Rite Aid at 22346 Woodward Avenue Ferndale, MI","03878","https://maps.google.com/maps?cid=12145866355597438155",1252042,42.4573145778707,-83.1316767709086,"main",""
"Rite Aid at 28659 Telegraph Road Flat Rock, MI","04362","https://maps.google.com/maps?cid=8584520614752715416",1252452,42.097636,-83.292184,"main",""
"Rite Aid at 1124 North Ballenger Hwy Flint, MI","04761","https://maps.google.com/maps?cid=17520209153434138835",1250648,43.025056,-83.730703,"main",""
"Rite Aid at 2838 East Court Street Flint, MI","04504","https://maps.google.com/maps?cid=17344663996977312341",1252436,43.0177271,-83.6533657,"main",""
"Rite Aid at 3521 Corunna Road Flint, MI","04588","https://maps.google.com/maps?cid=8701397722441932284",1252868,43.001966,-83.732652,"main",""
"Rite Aid at 4515 Corunna Road Flint, MI","04442","https://maps.google.com/maps?cid=7079732883444648467",1253369,43.0015411,-83.7719089,"main",""
"Rite Aid at 4519 Richfield Road Flint, MI","01587","https://maps.google.com/maps?cid=15974634025970918623",1253372,43.051824,-83.616563,"main",""
"Rite Aid at 5018 Clio Road Flint, MI","04310","https://maps.google.com/maps?cid=16392309059796442392",1253587,43.060088,-83.732725,"main",""
"Rite Aid at 1565 East Pierson Road Flushing, MI","04443","https://maps.google.com/maps?cid=3328632407493461069",1251332,43.060676,-83.814185,"main",""
"Rite Aid at 218 West Main Street Flushing, MI","01729","https://maps.google.com/maps?cid=2340802959434963271",1251985,43.0638475,-83.8585493,"main",""
"Rite Aid at 309 North Main Street Frankenmuth, MI","04507","https://maps.google.com/maps?cid=17828878708420930861",1252614,43.3379764,-83.7376943,"main",""
"Rite Aid at 924 West Main Street Fremont, MI","01524","https://maps.google.com/maps?cid=11861955852505542218",1254757,43.466687,-85.961096,"main",""
"Rite Aid at 29447 Ford Road Garden City, MI","04466","https://maps.google.com/maps?cid=1887638809945990233",1252486,42.325213,-83.332371,"main",""
"Rite Aid at 419 West Main Street Gaylord, MI","01663","https://maps.google.com/maps?cid=13751350063298747730",1253221,45.0270712,-84.6792571,"main",""
"Rite Aid at 120 East Cedar Ave Gladwin, MI","04488","http://maps.google.com/?q=120+East+Cedar+Ave%2C+Gladwin%2C+MI+48624+US+%28Rite+Aid%29&output=classic",1250773,43.9803173,-84.4861739,"main",""
"Rite Aid at 1020 East Hill Road Grand Blanc, MI","04471","https://maps.google.com/maps?cid=1779405485606625219",1250435,42.9436,-83.69123,"main",""
"Rite Aid at 11609 South Saginaw Street Grand Blanc, MI","04441","https://maps.google.com/maps?cid=17618057094617094788",1250721,42.9269332,-83.6288303,"main",""
"Rite Aid at 5370 East Hill Road Grand Blanc, MI","04956","https://maps.google.com/maps?cid=6952231158825284278",1253727,42.944735,-83.598946,"main",""
"Rite Aid at 8360 South Saginaw Street Grand Blanc, MI","04319","https://maps.google.com/maps?cid=7295769562935800305",1254573,42.9094749,-83.605589,"main",""
"Rite Aid at 715 South Clinton Street Grand Ledge, MI","01530","https://maps.google.com/maps?cid=2362286735089080639",1254279,42.741388,-84.738992,"main",""
"Rite Aid at 2036 Lake Michigan Dr Grand Rapids, MI","01519","https://maps.google.com/maps?cid=14917655091841869327",1251838,42.9705899,-85.7190437,"main",""
"Rite Aid at 2130 Wealthy St SE Grand Rapids, MI","01521","https://maps.google.com/maps?cid=14457290797059524134",1251939,42.9509566,-85.6160923,"main",""
"Rite Aid at 2410 Burton Street SE Grand Rapids, MI","01517","https://maps.google.com/maps?cid=16058424697995468532",1251615,42.9268285469132,-85.6086096167564,"main",""
"Rite Aid at 53 South Maple Street Grant, MI","01525","https://maps.google.com/maps?cid=7772823407130205864",1253704,43.335841,-85.810933,"main",""
"Rite Aid at 507 N Lafayette Street Greenville, MI","01527","https://maps.google.com/maps?cid=1469314144738320775",1253604,43.1854484,-85.2533177,"main",""
"Rite Aid at 107 Kercheval Avenue Grosse Pointe Farms, MI","04368","https://maps.google.com/maps?cid=13221325602917945422",1250519,42.395708,-82.9031171,"main",""
"Rite Aid at 161 Beech Street Harrison, MI","03253","https://maps.google.com/maps?cid=14354717525532219029",1251378,44.0209907,-84.8002982,"main",""
"Rite Aid at 28350 South River Road Harrison Township, MI","04695","https://maps.google.com/maps?cid=6031253087858508699",1252435,42.589883,-82.827145,"main",""
"Rite Aid at 302 West Main Street Hartford, MI","04240","https://maps.google.com/maps?cid=12980727377966459107",1252559,42.206149,-86.171655,"main",""
"Rite Aid at 1589 Haslett Road Haslett, MI","04599","https://maps.google.com/maps?cid=12321015817559310365",1251344,42.746514,-84.406842,"main",""
"Rite Aid at 2880 East Highland Road Highland, MI","04306","https://maps.google.com/maps?cid=3855314996136330295",1252455,42.652527,-83.574853,"main",""
"Rite Aid at 300 West Carleton Road Hillsdale, MI","04380","http://maps.google.com/?q=300+West+Carleton+Road%2C+Hillsdale%2C+MI+49242+US+%28Rite+Aid%29&output=classic",1252530,41.9320404,-84.6419975,"main",""
"Rite Aid at 973 Washington Avenue Holland, MI","04393","https://maps.google.com/maps?cid=14109719122287997145",1254834,42.762082495889,-86.1159896850586,"main",""
"Rite Aid at 15242 North Holly Road Holly, MI","03497","https://maps.google.com/maps?cid=12947348200545843192",1251284,42.806839,-83.628911,"main",""
"Rite Aid at 2263 Cedar Street Holt, MI","01612","https://maps.google.com/maps?cid=10123262410114239522",1252064,42.6476813,-84.5245668,"main",""
"Rite Aid at 4562 West Houghton Lake Drive Houghton Lake, MI","04431","https://maps.google.com/maps?cid=11536027754885634523",1253391,44.2986453,-84.7303553,"main",""
"Rite Aid at 1002 East Grand River Ave Howell, MI","04420","https://maps.google.com/maps?cid=1423691195361119155",1250361,42.603663,-83.917718,"main",""
"Rite Aid at 26020 Coolidge Highway Huntington Woods, MI","04351","https://maps.google.com/maps?cid=8631036184125531454",1252310,42.482232,-83.182583,"main",""
"Rite Aid at 557 North Cedar Street Imlay City, MI","04330","https://maps.google.com/maps?cid=12442959952920470941",1253778,43.0299789,-83.0724648,"main",""
"Rite Aid at 431 West Lincoln Highway Ionia, MI","04326","https://maps.google.com/maps?cid=13133156980064746701",1253286,42.986732287909,-85.0703157559838,"main",""
"Rite Aid at 1010 East Center Street Ithaca, MI","01772","https://maps.google.com/maps?cid=7450351155361949328",1250405,43.290169,-84.591788,"main",""
"Rite Aid at 1733 Spring Arbor Road Jackson, MI","04539","https://maps.google.com/maps?cid=14367626863015342595",1251523,42.239254,-84.434593,"main",""
"Rite Aid at 2255 South Jackson Road Jackson, MI","01265","https://maps.google.com/maps?cid=11469012462268763684",1252055,42.199329,-84.437368,"main",""
"Rite Aid at 3100 East Michigan Avenue Jackson, MI","04350","https://maps.google.com/maps?cid=9870427981971637160",1252626,42.2567165938149,-84.3644220381975,"main",""
"Rite Aid at 2775 Port Sheldon Street Jenison, MI","01472","https://maps.google.com/maps?cid=3033825445186844350",1252396,42.88819,-85.851091,"main",""
